,contrast,alt_area_missing,alt_input_missing,alt_link_missing,alt_map_missing,alt_missing,alt_spacer_missing,aria_reference_broken,blink,button_empty,heading_empty,label_empty,label_missing,label_multiple,language_missing,link_empty,link_skip_broken,longdesc_invalid,marquee,meta_refresh,server_image_map,th_empty,title_invalid
CMS - Blogger,2463091,340,532,902883,168,233329,15577,591,30,15008,5534,797,26478,262,11242,126438,259,28,600,39,0,158,14
CMS - Elementor,250890,231,339,42247,112,26899,7343,2549,7,6359,3772,1733,14648,1784,1203,44597,140,64,103,18,0,187,155
CMS - 1C-Bitrix,326313,186,371,68443,48,51690,3145,13072,3,13892,2526,3876,52081,1388,3090,102247,0,6,53,14,0,354,110
CMS - Drupal,1075200,1057,1268,249729,242,119177,6997,28642,4,52180,16005,5014,47687,9861,6318,236673,5185,807,144,174,0,1050,38
CMS - Joomla,898699,922,1499,131235,237,96477,11251,2397,20,15503,9441,3360,50590,2652,2160,179782,295,1923,353,72,0,440,97
CMS - Rocket,418781,165,63,51719,41,25556,3742,6999,0,10215,3877,3647,24286,3110,288,107823,113,6,21,60,0,188,21
CMS - Squarespace,182838,242,333,21020,115,35382,7057,80,7,7750,1835,1878,7999,1298,1132,58853,21,64,66,16,0,132,70
CMS - TYPO3 CMS,233993,218,350,49651,49,24469,965,8801,5,10698,3568,1911,17657,1695,630,64803,64,63,23,11,0,660,37
CMS - Weebly,129839,149,352,21522,107,29793,7552,28,7,1278,1106,2638,6319,367,1627,22498,23,65,91,17,0,119,27
CMS - Wix,135307,145,330,16315,105,17743,6412,18,7,1172,2173,602,7004,73,1130,9321,21,64,65,15,0,118,25
CMS - WordPress,11942486,7854,4191,1968512,1381,804395,91138,139242,55,228127,127943,51099,582626,47370,17968,2652720,5476,503,1617,905,0,5912,3921
