,contrast,alt_area_missing,alt_input_missing,alt_link_missing,alt_map_missing,alt_missing,alt_spacer_missing,aria_reference_broken,blink,button_empty,heading_empty,label_empty,label_missing,label_multiple,language_missing,link_empty,link_skip_broken,longdesc_invalid,marquee,meta_refresh,server_image_map,th_empty,title_invalid
Frameworks - Angular,576533,214,183,75096,55,143023,5611,15437,1,28805,9754,5023,50397,5171,5252,136846,338,24,79,55,0,1499,119
Frameworks - Backbone.js,909859,1004,478,130605,484,128576,11717,10587,9,27473,11965,6435,55835,5490,5861,262520,507,94,118,115,0,891,427
Frameworks - Handlebars,594849,1611,565,101646,227,112588,11079,19965,8,29476,9666,6540,58471,6251,4513,165100,795,122,99,65,0,586,73
Frameworks - Knockout.js,263740,323,366,41383,348,60982,7246,3649,7,6864,2961,1790,20074,1210,3743,46558,107,68,76,37,0,442,42
Frameworks - MooTools,906996,861,2046,143451,289,104528,12908,1719,35,13392,10104,2962,49943,2266,3372,155174,375,2395,411,82,0,755,119
Frameworks - Mustache,451569,249,406,60237,143,73092,10275,9155,7,14322,4968,5706,33869,2746,2585,101893,581,83,110,162,0,390,54
Frameworks - Prototype,622542,759,1011,121143,433,99423,12969,9526,10,14157,5779,3307,37365,2885,3736,128255,247,316,214,65,0,2111,57
Frameworks - React,1381619,700,697,168989,263,141732,20049,16432,14,38571,15660,8112,70952,7367,5473,213284,668,236,102,214,0,960,403
Frameworks - RequireJS,810873,819,593,155660,229,200417,14516,21286,8,29531,13599,11422,49778,6406,3746,184184,626,128,347,107,0,1333,97
Frameworks - TweenMax,844733,511,517,127583,166,121196,16392,20798,7,30241,16043,7921,60497,4661,3242,248698,298,68,126,59,0,609,123
Frameworks - Vue.js,272806,297,370,44488,133,57476,8261,6390,7,10174,3113,2052,22559,1613,2211,56333,85,67,83,34,0,418,40
