,contrast,alt_area_missing,alt_input_missing,alt_link_missing,alt_map_missing,alt_missing,alt_spacer_missing,aria_reference_broken,blink,button_empty,heading_empty,label_empty,label_missing,label_multiple,language_missing,link_empty,link_skip_broken,longdesc_invalid,marquee,meta_refresh,server_image_map,th_empty,title_invalid
Libraries - Dojo,257200,314,447,57508,184,44785,8189,7908,18,6816,3179,1586,18628,1937,2128,60995,137,83,108,33,0,201,55
Libraries - FancyBox,2010399,2183,1762,374964,601,324988,30011,53063,87,64042,23466,25256,203638,17304,12851,582480,566,463,569,255,0,2848,288
Libraries - Fingerprintjs,416618,384,528,76272,173,71598,10412,8207,16,10189,4171,3264,30602,2582,2928,86240,139,111,123,75,0,339,51
Libraries - Flickity,299951,261,351,54117,117,48552,8252,2208,7,11617,3744,4566,24988,5285,1964,90831,215,64,75,36,0,332,50
Libraries - Hammer.js,887312,1092,581,119078,234,134399,13655,18192,12,38356,13923,8838,66297,5812,4615,231754,987,210,161,202,0,837,152
Libraries - jQuery,29649707,29733,29146,5371147,10699,3900600,301528,458454,631,723514,322191,199482,1846072,134781,188459,6320447,15974,8865,9335,4061,0,28950,6803
Libraries - jQuery Migrate,12163094,8625,4496,2026198,1788,875082,94443,150970,64,251516,134148,59984,640612,49118,19508,2834340,5848,2092,1809,1130,0,5245,3057
Libraries - jQuery UI,7650029,8568,8573,1329494,2449,1022101,84118,163040,173,247947,96814,64531,656326,50211,38618,1903265,5193,2168,1899,876,0,9156,1312
Libraries - Lazy.js,2010550,306,339,669451,133,192627,11020,4746,10,17254,5206,2391,25557,1060,5789,115163,123,18,373,40,0,296,40
Libraries - Lightbox,1992409,2316,2339,447212,965,226123,21715,24261,31,51814,29298,9424,119072,8068,8555,547878,945,413,641,186,0,2376,507
Libraries - Lodash,602739,376,174,105082,36,178803,15975,16874,0,29739,10236,5383,49758,5125,3302,150264,237,23,19,88,0,583,65
Libraries - Modernizr,7191510,7212,2732,1187607,1215,897968,72475,159454,67,228681,102586,58870,488243,51903,28430,1974289,5291,1184,1200,929,0,6179,1550
Libraries - Moment.js,1473374,1080,635,218983,286,254675,20823,44336,14,64879,21661,15869,141276,11945,7352,365751,937,182,192,211,0,4096,246
Libraries - prettyPhoto,1237374,1016,933,236090,308,120553,15417,15182,18,30592,17552,5599,85248,4612,4141,360817,397,241,400,93,0,823,301
Libraries - script.aculo.us,389884,491,726,79518,322,65832,10293,3994,8,7227,3394,1786,21542,1460,2561,69945,202,216,155,41,0,1896,40
Libraries - Select2,946770,1120,544,129824,184,116119,12571,25867,9,33969,10980,11101,86436,6189,3687,253907,475,178,166,59,0,1140,122
Libraries - Slick,1630144,1573,744,345986,311,281439,13965,198580,21,59918,21550,16250,134497,11299,6343,456480,960,499,233,165,0,1199,335
Libraries - SoundManager,201815,378,430,42992,135,35866,8336,2802,8,6390,2339,956,12495,835,1870,49426,136,69,172,24,0,408,52
Libraries - Underscore.js,1189522,1526,179,205719,145,118253,8121,26627,0,42266,14836,11618,82658,7797,2058,338138,671,26,115,71,0,841,220
Libraries - YUI,623434,723,2143,103625,511,104471,12388,6528,22,15088,5314,3401,42580,2439,4802,131596,132,94,264,230,0,918,98
Libraries - Zepto,215092,155,342,26579,110,30990,6992,1911,7,2994,3115,1221,11485,432,2074,34806,41,68,79,25,0,342,33
